Item Name, Trade Up Cost (GBP), Expected Value (GBP), Expected Profit (GBP), All Profit Outcomes (GBP)
M249 | Aztec (Well-Worn), 4.2, 3.776666666666667, -0.42333333333333334, AUG | Death by Puppy (Field-Tested):4.51 - MP9 | Hydra (Battle-Scarred):3.35 - P90 | Nostalgia (Battle-Scarred):3.47 - 
M249 | Blizzard Marbleized (Battle-Scarred), 36.3, 22.975, -13.324999999999996, MP7 | Whiteout (Battle-Scarred):4.14 - P2000 | Silver (Minimal Wear):41.81 - 
M249 | Blizzard Marbleized (Factory New), 87.10000000000001, 9.44, -77.66000000000001, MP7 | Whiteout (Battle-Scarred):4.14 - P2000 | Silver (Factory New):14.74 - 
M249 | Blizzard Marbleized (Field-Tested), 35.8, 22.975, -12.824999999999996, MP7 | Whiteout (Battle-Scarred):4.14 - P2000 | Silver (Minimal Wear):41.81 - 
M249 | Blizzard Marbleized (Minimal Wear), 135.7, 9.44, -126.25999999999999, MP7 | Whiteout (Battle-Scarred):4.14 - P2000 | Silver (Factory New):14.74 - 
M249 | Blizzard Marbleized (Well-Worn), 34.7, 22.975, -11.725000000000001, MP7 | Whiteout (Battle-Scarred):4.14 - P2000 | Silver (Minimal Wear):41.81 - 
M249 | Contrast Spray (Battle-Scarred), 1.5, 1.035, -0.4650000000000001, Desert Eagle | Urban DDPAT (Battle-Scarred):1.18 - Glock-18 | Night (Battle-Scarred):1.03 - MP7 | Gunsmoke (Battle-Scarred):0.97 - P2000 | Grassland (Battle-Scarred):0.96 - 
M249 | Contrast Spray (Factory New), 48.8, 1.035, -47.765, Desert Eagle | Urban DDPAT (Battle-Scarred):1.18 - Glock-18 | Night (Battle-Scarred):1.03 - MP7 | Gunsmoke (Battle-Scarred):0.97 - P2000 | Grassland (Battle-Scarred):0.96 - 
M249 | Contrast Spray (Field-Tested), 1.5, 1.035, -0.4650000000000001, Desert Eagle | Urban DDPAT (Battle-Scarred):1.18 - Glock-18 | Night (Battle-Scarred):1.03 - MP7 | Gunsmoke (Battle-Scarred):0.97 - P2000 | Grassland (Battle-Scarred):0.96 - 
M249 | Contrast Spray (Minimal Wear), 3.5999999999999996, 1.035, -2.5649999999999995, Desert Eagle | Urban DDPAT (Battle-Scarred):1.18 - Glock-18 | Night (Battle-Scarred):1.03 - MP7 | Gunsmoke (Battle-Scarred):0.97 - P2000 | Grassland (Battle-Scarred):0.96 - 
M249 | Contrast Spray (Well-Worn), 1.5, 1.035, -0.4650000000000001, Desert Eagle | Urban DDPAT (Battle-Scarred):1.18 - Glock-18 | Night (Battle-Scarred):1.03 - MP7 | Gunsmoke (Battle-Scarred):0.97 - P2000 | Grassland (Battle-Scarred):0.96 - 
M249 | Deep Relief (Battle-Scarred), 2.7, 1.6760000000000002, -1.024, AWP | Exoskeleton (Battle-Scarred):1.72 - Dual Berettas | Dezastre (Battle-Scarred):2.02 - Nova | Clear Polymer (Battle-Scarred):1.5 - SSG 08 | Parallax (Battle-Scarred):1.65 - UMP-45 | Gold Bismuth (Battle-Scarred):1.49 - 
M249 | Deep Relief (Factory New), 7.6, 1.6760000000000002, -5.9239999999999995, AWP | Exoskeleton (Battle-Scarred):1.72 - Dual Berettas | Dezastre (Battle-Scarred):2.02 - Nova | Clear Polymer (Battle-Scarred):1.5 - SSG 08 | Parallax (Battle-Scarred):1.65 - UMP-45 | Gold Bismuth (Battle-Scarred):1.49 - 
M249 | Deep Relief (Field-Tested), 3.3000000000000003, 1.6760000000000002, -1.624, AWP | Exoskeleton (Battle-Scarred):1.72 - Dual Berettas | Dezastre (Battle-Scarred):2.02 - Nova | Clear Polymer (Battle-Scarred):1.5 - SSG 08 | Parallax (Battle-Scarred):1.65 - UMP-45 | Gold Bismuth (Battle-Scarred):1.49 - 
M249 | Deep Relief (Minimal Wear), 4.9, 1.6760000000000002, -3.224, AWP | Exoskeleton (Battle-Scarred):1.72 - Dual Berettas | Dezastre (Battle-Scarred):2.02 - Nova | Clear Polymer (Battle-Scarred):1.5 - SSG 08 | Parallax (Battle-Scarred):1.65 - UMP-45 | Gold Bismuth (Battle-Scarred):1.49 - 
M249 | Deep Relief (Well-Worn), 2.7, 1.6760000000000002, -1.024, AWP | Exoskeleton (Battle-Scarred):1.72 - Dual Berettas | Dezastre (Battle-Scarred):2.02 - Nova | Clear Polymer (Battle-Scarred):1.5 - SSG 08 | Parallax (Battle-Scarred):1.65 - UMP-45 | Gold Bismuth (Battle-Scarred):1.49 - 
M249 | Downtown (Battle-Scarred), 4.3, 3.5500000000000003, -0.7499999999999996, AK-47 | Ice Coaled (Battle-Scarred):5.39 - P250 | Visions (Battle-Scarred):2.69 - Sawed-Off | Kiss♥Love (Battle-Scarred):2.57 - 
M249 | Downtown (Factory New), 19.0, 3.5500000000000003, -15.45, AK-47 | Ice Coaled (Battle-Scarred):5.39 - P250 | Visions (Battle-Scarred):2.69 - Sawed-Off | Kiss♥Love (Battle-Scarred):2.57 - 
M249 | Downtown (Field-Tested), 5.2, 3.5500000000000003, -1.65, AK-47 | Ice Coaled (Battle-Scarred):5.39 - P250 | Visions (Battle-Scarred):2.69 - Sawed-Off | Kiss♥Love (Battle-Scarred):2.57 - 
M249 | Downtown (Minimal Wear), 10.4, 3.5500000000000003, -6.85, AK-47 | Ice Coaled (Battle-Scarred):5.39 - P250 | Visions (Battle-Scarred):2.69 - Sawed-Off | Kiss♥Love (Battle-Scarred):2.57 - 
M249 | Downtown (Well-Worn), 5.0, 3.5500000000000003, -1.4499999999999997, AK-47 | Ice Coaled (Battle-Scarred):5.39 - P250 | Visions (Battle-Scarred):2.69 - Sawed-Off | Kiss♥Love (Battle-Scarred):2.57 - 
M249 | Emerald Poison Dart (Factory New), 20.8, 6.153333333333333, -14.646666666666668, AWP | Fever Dream (Battle-Scarred):5.71 - CZ75-Auto | Xiangliu (Battle-Scarred):5.29 - M4A1-S | Decimator (Battle-Scarred):7.46 - 
M249 | Emerald Poison Dart (Field-Tested), 8.8, 6.153333333333333, -2.6466666666666674, AWP | Fever Dream (Battle-Scarred):5.71 - CZ75-Auto | Xiangliu (Battle-Scarred):5.29 - M4A1-S | Decimator (Battle-Scarred):7.46 - 
M249 | Emerald Poison Dart (Minimal Wear), 11.100000000000001, 6.153333333333333, -4.946666666666668, AWP | Fever Dream (Battle-Scarred):5.71 - CZ75-Auto | Xiangliu (Battle-Scarred):5.29 - M4A1-S | Decimator (Battle-Scarred):7.46 - 
M249 | Emerald Poison Dart (Well-Worn), 9.0, 6.153333333333333, -2.8466666666666667, AWP | Fever Dream (Battle-Scarred):5.71 - CZ75-Auto | Xiangliu (Battle-Scarred):5.29 - M4A1-S | Decimator (Battle-Scarred):7.46 - 
M249 | Gator Mesh (Battle-Scarred), 1.0, 1.02, 0.020000000000000018, FAMAS | Teardown (Battle-Scarred):0.34 - Five-SeveN | Silver Quartz (Well-Worn):0.45 - SSG 08 | Acid Fade (Factory New):2.27 - 
M249 | Gator Mesh (Factory New), 1.7000000000000002, 1.2233333333333334, -0.4766666666666668, FAMAS | Teardown (Battle-Scarred):0.34 - Five-SeveN | Silver Quartz (Factory New):1.06 - SSG 08 | Acid Fade (Factory New):2.27 - 
M249 | Gator Mesh (Field-Tested), 1.0, 1.05, 0.050000000000000044, FAMAS | Teardown (Battle-Scarred):0.34 - Five-SeveN | Silver Quartz (Minimal Wear):0.54 - SSG 08 | Acid Fade (Factory New):2.27 - 
M249 | Gator Mesh (Minimal Wear), 1.2, 1.2233333333333334, 0.023333333333333428, FAMAS | Teardown (Battle-Scarred):0.34 - Five-SeveN | Silver Quartz (Factory New):1.06 - SSG 08 | Acid Fade (Factory New):2.27 - 
M249 | Gator Mesh (Well-Worn), 1.0, 1.0166666666666666, 0.016666666666666607, FAMAS | Teardown (Battle-Scarred):0.34 - Five-SeveN | Silver Quartz (Field-Tested):0.44 - SSG 08 | Acid Fade (Factory New):2.27 - 
M249 | Humidor (Battle-Scarred), 102.30000000000001, 45.449999999999996, -56.850000000000016, AUG | Sand Storm (Battle-Scarred):48.53 - Glock-18 | Pink DDPAT (Battle-Scarred):36.73 - XM1014 | Elegant Vines (Field-Tested):51.09 - 
M249 | Humidor (Factory New), 104.80000000000001, 47.11333333333332, -57.68666666666669, AUG | Sand Storm (Battle-Scarred):48.53 - Glock-18 | Pink DDPAT (Battle-Scarred):36.73 - XM1014 | Elegant Vines (Factory New):56.08 - 
M249 | Humidor (Field-Tested), 108.9, 45.54999999999999, -63.350000000000016, AUG | Sand Storm (Battle-Scarred):48.53 - Glock-18 | Pink DDPAT (Battle-Scarred):36.73 - XM1014 | Elegant Vines (Minimal Wear):51.39 - 
M249 | Humidor (Minimal Wear), 104.80000000000001, 47.11333333333332, -57.68666666666669, AUG | Sand Storm (Battle-Scarred):48.53 - Glock-18 | Pink DDPAT (Battle-Scarred):36.73 - XM1014 | Elegant Vines (Factory New):56.08 - 
M249 | Humidor (Well-Worn), 97.89999999999999, 45.449999999999996, -52.449999999999996, AUG | Sand Storm (Battle-Scarred):48.53 - Glock-18 | Pink DDPAT (Battle-Scarred):36.73 - XM1014 | Elegant Vines (Field-Tested):51.09 - 
M249 | Impact Drill (Battle-Scarred), 7.6, 6.215, -1.3849999999999998, Galil AR | Urban Rubble (Battle-Scarred):5.79 - USP-S | Para Green (Battle-Scarred):6.64 - 
M249 | Impact Drill (Factory New), 26.299999999999997, 6.215, -20.084999999999997, Galil AR | Urban Rubble (Battle-Scarred):5.79 - USP-S | Para Green (Battle-Scarred):6.64 - 
M249 | Impact Drill (Field-Tested), 9.399999999999999, 6.215, -3.1849999999999987, Galil AR | Urban Rubble (Battle-Scarred):5.79 - USP-S | Para Green (Battle-Scarred):6.64 - 
M249 | Impact Drill (Minimal Wear), 12.6, 6.215, -6.385, Galil AR | Urban Rubble (Battle-Scarred):5.79 - USP-S | Para Green (Battle-Scarred):6.64 - 
M249 | Impact Drill (Well-Worn), 7.7, 6.215, -1.4850000000000003, Galil AR | Urban Rubble (Battle-Scarred):5.79 - USP-S | Para Green (Battle-Scarred):6.64 - 
M249 | Jungle (Battle-Scarred), 16.5, 2.924, -13.576, Glock-18 | Sand Dune (Battle-Scarred):3.56 - Negev | Palm (Battle-Scarred):2.69 - P250 | Facets (Battle-Scarred):3.09 - SSG 08 | Mayan Dreams (Battle-Scarred):2.7 - Sawed-Off | Mosaico (Battle-Scarred):2.58 - 
M249 | Jungle (Factory New), 141.0, 2.924, -138.076, Glock-18 | Sand Dune (Battle-Scarred):3.56 - Negev | Palm (Battle-Scarred):2.69 - P250 | Facets (Battle-Scarred):3.09 - SSG 08 | Mayan Dreams (Battle-Scarred):2.7 - Sawed-Off | Mosaico (Battle-Scarred):2.58 - 
M249 | Jungle (Field-Tested), 15.700000000000001, 2.924, -12.776000000000002, Glock-18 | Sand Dune (Battle-Scarred):3.56 - Negev | Palm (Battle-Scarred):2.69 - P250 | Facets (Battle-Scarred):3.09 - SSG 08 | Mayan Dreams (Battle-Scarred):2.7 - Sawed-Off | Mosaico (Battle-Scarred):2.58 - 
M249 | Jungle (Minimal Wear), 12.9, 2.924, -9.976, Glock-18 | Sand Dune (Battle-Scarred):3.56 - Negev | Palm (Battle-Scarred):2.69 - P250 | Facets (Battle-Scarred):3.09 - SSG 08 | Mayan Dreams (Battle-Scarred):2.7 - Sawed-Off | Mosaico (Battle-Scarred):2.58 - 
M249 | Jungle (Well-Worn), 14.9, 2.924, -11.976, Glock-18 | Sand Dune (Battle-Scarred):3.56 - Negev | Palm (Battle-Scarred):2.69 - P250 | Facets (Battle-Scarred):3.09 - SSG 08 | Mayan Dreams (Battle-Scarred):2.7 - Sawed-Off | Mosaico (Battle-Scarred):2.58 - 
M249 | Jungle DDPAT (Battle-Scarred), 6.8999999999999995, 2.924, -3.9759999999999995, Glock-18 | Sand Dune (Battle-Scarred):3.56 - Negev | Palm (Battle-Scarred):2.69 - P250 | Facets (Battle-Scarred):3.09 - SSG 08 | Mayan Dreams (Battle-Scarred):2.7 - Sawed-Off | Mosaico (Battle-Scarred):2.58 - 
M249 | Jungle DDPAT (Factory New), 140.8, 2.924, -137.876, Glock-18 | Sand Dune (Battle-Scarred):3.56 - Negev | Palm (Battle-Scarred):2.69 - P250 | Facets (Battle-Scarred):3.09 - SSG 08 | Mayan Dreams (Battle-Scarred):2.7 - Sawed-Off | Mosaico (Battle-Scarred):2.58 - 
M249 | Jungle DDPAT (Field-Tested), 7.7, 2.924, -4.776, Glock-18 | Sand Dune (Battle-Scarred):3.56 - Negev | Palm (Battle-Scarred):2.69 - P250 | Facets (Battle-Scarred):3.09 - SSG 08 | Mayan Dreams (Battle-Scarred):2.7 - Sawed-Off | Mosaico (Battle-Scarred):2.58 - 
M249 | Jungle DDPAT (Minimal Wear), 19.3, 2.924, -16.376, Glock-18 | Sand Dune (Battle-Scarred):3.56 - Negev | Palm (Battle-Scarred):2.69 - P250 | Facets (Battle-Scarred):3.09 - SSG 08 | Mayan Dreams (Battle-Scarred):2.7 - Sawed-Off | Mosaico (Battle-Scarred):2.58 - 
M249 | Jungle DDPAT (Well-Worn), 6.800000000000001, 2.924, -3.876000000000001, Glock-18 | Sand Dune (Battle-Scarred):3.56 - Negev | Palm (Battle-Scarred):2.69 - P250 | Facets (Battle-Scarred):3.09 - SSG 08 | Mayan Dreams (Battle-Scarred):2.7 - Sawed-Off | Mosaico (Battle-Scarred):2.58 - 
M249 | Magma (Battle-Scarred), 7.0, 4.5275, -2.4725, Dual Berettas | Marina (Battle-Scarred):4.08 - FAMAS | Pulse (Well-Worn):4.36 - MP9 | Rose Iron (Field-Tested):5.45 - Nova | Rising Skull (Battle-Scarred):4.22 - 
M249 | Magma (Factory New), 8.5, 5.1425, -3.3575, Dual Berettas | Marina (Battle-Scarred):4.08 - FAMAS | Pulse (Factory New):6.56 - MP9 | Rose Iron (Factory New):5.71 - Nova | Rising Skull (Battle-Scarred):4.22 - 
M249 | Magma (Field-Tested), 8.2, 4.645, -3.5549999999999997, Dual Berettas | Marina (Battle-Scarred):4.08 - FAMAS | Pulse (Minimal Wear):5.03 - MP9 | Rose Iron (Minimal Wear):5.25 - Nova | Rising Skull (Battle-Scarred):4.22 - 
M249 | Magma (Minimal Wear), 8.100000000000001, 5.1425, -2.9575000000000014, Dual Berettas | Marina (Battle-Scarred):4.08 - FAMAS | Pulse (Factory New):6.56 - MP9 | Rose Iron (Factory New):5.71 - Nova | Rising Skull (Battle-Scarred):4.22 - 
M249 | Magma (Well-Worn), 13.100000000000001, 4.59, -8.510000000000002, Dual Berettas | Marina (Battle-Scarred):4.08 - FAMAS | Pulse (Field-Tested):4.61 - MP9 | Rose Iron (Field-Tested):5.45 - Nova | Rising Skull (Battle-Scarred):4.22 - 
M249 | Midnight Palm (Battle-Scarred), 23.599999999999998, 16.255, -7.344999999999999, G3SG1 | New Roots (Battle-Scarred):17.18 - Galil AR | Amber Fade (Well-Worn):16.1 - Nova | Quick Sand (Battle-Scarred):14.51 - P250 | Black & Tan (Battle-Scarred):17.23 - 
M249 | Midnight Palm (Factory New), 24.3, 17.075, -7.225000000000001, G3SG1 | New Roots (Battle-Scarred):17.18 - Galil AR | Amber Fade (Factory New):19.38 - Nova | Quick Sand (Battle-Scarred):14.51 - P250 | Black & Tan (Battle-Scarred):17.23 - 
M249 | Midnight Palm (Field-Tested), 22.799999999999997, 16.765, -6.034999999999997, G3SG1 | New Roots (Battle-Scarred):17.18 - Galil AR | Amber Fade (Minimal Wear):18.14 - Nova | Quick Sand (Battle-Scarred):14.51 - P250 | Black & Tan (Battle-Scarred):17.23 - 
M249 | Midnight Palm (Minimal Wear), 23.2, 17.075, -6.125, G3SG1 | New Roots (Battle-Scarred):17.18 - Galil AR | Amber Fade (Factory New):19.38 - Nova | Quick Sand (Battle-Scarred):14.51 - P250 | Black & Tan (Battle-Scarred):17.23 - 
M249 | Midnight Palm (Well-Worn), 20.2, 16.61, -3.59, G3SG1 | New Roots (Battle-Scarred):17.18 - Galil AR | Amber Fade (Field-Tested):17.52 - Nova | Quick Sand (Battle-Scarred):14.51 - P250 | Black & Tan (Battle-Scarred):17.23 - 
M249 | Nebula Crusader (Battle-Scarred), 8.0, 5.706666666666666, -2.293333333333334, AK-47 | Frontside Misty (Battle-Scarred):8.52 - G3SG1 | Flux (Battle-Scarred):4.2 - SSG 08 | Big Iron (Battle-Scarred):4.4 - 
M249 | Nebula Crusader (Factory New), 37.7, 5.706666666666666, -31.993333333333336, AK-47 | Frontside Misty (Battle-Scarred):8.52 - G3SG1 | Flux (Battle-Scarred):4.2 - SSG 08 | Big Iron (Battle-Scarred):4.4 - 
M249 | Nebula Crusader (Field-Tested), 9.5, 5.706666666666666, -3.793333333333334, AK-47 | Frontside Misty (Battle-Scarred):8.52 - G3SG1 | Flux (Battle-Scarred):4.2 - SSG 08 | Big Iron (Battle-Scarred):4.4 - 
M249 | Nebula Crusader (Minimal Wear), 18.6, 5.706666666666666, -12.893333333333334, AK-47 | Frontside Misty (Battle-Scarred):8.52 - G3SG1 | Flux (Battle-Scarred):4.2 - SSG 08 | Big Iron (Battle-Scarred):4.4 - 
M249 | Nebula Crusader (Well-Worn), 8.8, 5.706666666666666, -3.0933333333333346, AK-47 | Frontside Misty (Battle-Scarred):8.52 - G3SG1 | Flux (Battle-Scarred):4.2 - SSG 08 | Big Iron (Battle-Scarred):4.4 - 
M249 | O.S.I.P.R. (Battle-Scarred), 0.8999999999999999, 0.5780000000000001, -0.32199999999999984, AK-47 | Slate (Battle-Scarred):2.03 - Desert Eagle | Trigger Discipline (Battle-Scarred):0.22 - MAC-10 | Button Masher (Battle-Scarred):0.22 - Negev | dev_texture (Battle-Scarred):0.21 - P250 | Cyber Shell (Battle-Scarred):0.21 - 
M249 | O.S.I.P.R. (Factory New), 3.3000000000000003, 0.5780000000000001, -2.7220000000000004, AK-47 | Slate (Battle-Scarred):2.03 - Desert Eagle | Trigger Discipline (Battle-Scarred):0.22 - MAC-10 | Button Masher (Battle-Scarred):0.22 - Negev | dev_texture (Battle-Scarred):0.21 - P250 | Cyber Shell (Battle-Scarred):0.21 - 
M249 | O.S.I.P.R. (Field-Tested), 0.8999999999999999, 0.5780000000000001, -0.32199999999999984, AK-47 | Slate (Battle-Scarred):2.03 - Desert Eagle | Trigger Discipline (Battle-Scarred):0.22 - MAC-10 | Button Masher (Battle-Scarred):0.22 - Negev | dev_texture (Battle-Scarred):0.21 - P250 | Cyber Shell (Battle-Scarred):0.21 - 
M249 | O.S.I.P.R. (Minimal Wear), 1.4000000000000001, 0.5780000000000001, -0.8220000000000001, AK-47 | Slate (Battle-Scarred):2.03 - Desert Eagle | Trigger Discipline (Battle-Scarred):0.22 - MAC-10 | Button Masher (Battle-Scarred):0.22 - Negev | dev_texture (Battle-Scarred):0.21 - P250 | Cyber Shell (Battle-Scarred):0.21 - 
M249 | O.S.I.P.R. (Well-Worn), 0.8999999999999999, 0.5780000000000001, -0.32199999999999984, AK-47 | Slate (Battle-Scarred):2.03 - Desert Eagle | Trigger Discipline (Battle-Scarred):0.22 - MAC-10 | Button Masher (Battle-Scarred):0.22 - Negev | dev_texture (Battle-Scarred):0.21 - P250 | Cyber Shell (Battle-Scarred):0.21 - 
M249 | Predator (Battle-Scarred), 1.3, 2.038, 0.7379999999999998, Desert Eagle | Night (Battle-Scarred):6.29 - MP7 | Vault Heist (Battle-Scarred):0.94 - Nova | Rust Coat (Battle-Scarred):1.06 - R8 Revolver | Phoenix Marker (Battle-Scarred):1.2 - UMP-45 | Houndstooth (Battle-Scarred):0.7 - 
M249 | Predator (Factory New), 10.4, 2.038, -8.362, Desert Eagle | Night (Battle-Scarred):6.29 - MP7 | Vault Heist (Battle-Scarred):0.94 - Nova | Rust Coat (Battle-Scarred):1.06 - R8 Revolver | Phoenix Marker (Battle-Scarred):1.2 - UMP-45 | Houndstooth (Battle-Scarred):0.7 - 
M249 | Predator (Field-Tested), 1.3, 2.038, 0.7379999999999998, Desert Eagle | Night (Battle-Scarred):6.29 - MP7 | Vault Heist (Battle-Scarred):0.94 - Nova | Rust Coat (Battle-Scarred):1.06 - R8 Revolver | Phoenix Marker (Battle-Scarred):1.2 - UMP-45 | Houndstooth (Battle-Scarred):0.7 - 
M249 | Predator (Minimal Wear), 28.599999999999998, 2.038, -26.561999999999998, Desert Eagle | Night (Battle-Scarred):6.29 - MP7 | Vault Heist (Battle-Scarred):0.94 - Nova | Rust Coat (Battle-Scarred):1.06 - R8 Revolver | Phoenix Marker (Battle-Scarred):1.2 - UMP-45 | Houndstooth (Battle-Scarred):0.7 - 
M249 | Predator (Well-Worn), 1.5, 2.038, 0.5379999999999998, Desert Eagle | Night (Battle-Scarred):6.29 - MP7 | Vault Heist (Battle-Scarred):0.94 - Nova | Rust Coat (Battle-Scarred):1.06 - R8 Revolver | Phoenix Marker (Battle-Scarred):1.2 - UMP-45 | Houndstooth (Battle-Scarred):0.7 - 
M249 | Shipping Forecast (Battle-Scarred), 130.8, 0, -130.8, 
M249 | Shipping Forecast (Factory New), 138.6, 0, -138.6, 
M249 | Shipping Forecast (Field-Tested), 111.6, 0, -111.6, 
M249 | Shipping Forecast (Minimal Wear), 118.5, 0, -118.5, 
M249 | Shipping Forecast (Well-Worn), 92.4, 0, -92.4, 
M249 | Spectre (Battle-Scarred), 0.6, 0.252, -0.348, CZ75-Auto | Red Astor (Battle-Scarred):0.23 - Galil AR | Firefight (Battle-Scarred):0.24 - SSG 08 | Ghost Crusader (Battle-Scarred):0.26 - Tec-9 | Re-Entry (Well-Worn):0.29 - XM1014 | Black Tie (Battle-Scarred):0.24 - 
M249 | Spectre (Factory New), 1.7000000000000002, 0.45600000000000007, -1.2440000000000002, CZ75-Auto | Red Astor (Battle-Scarred):0.23 - Galil AR | Firefight (Battle-Scarred):0.24 - SSG 08 | Ghost Crusader (Battle-Scarred):0.26 - Tec-9 | Re-Entry (Factory New):1.31 - XM1014 | Black Tie (Battle-Scarred):0.24 - 
M249 | Spectre (Field-Tested), 0.8, 0.31599999999999995, -0.4840000000000001, CZ75-Auto | Red Astor (Battle-Scarred):0.23 - Galil AR | Firefight (Battle-Scarred):0.24 - SSG 08 | Ghost Crusader (Battle-Scarred):0.26 - Tec-9 | Re-Entry (Minimal Wear):0.61 - XM1014 | Black Tie (Battle-Scarred):0.24 - 
M249 | Spectre (Minimal Wear), 0.8999999999999999, 0.45600000000000007, -0.44399999999999984, CZ75-Auto | Red Astor (Battle-Scarred):0.23 - Galil AR | Firefight (Battle-Scarred):0.24 - SSG 08 | Ghost Crusader (Battle-Scarred):0.26 - Tec-9 | Re-Entry (Factory New):1.31 - XM1014 | Black Tie (Battle-Scarred):0.24 - 
M249 | Spectre (Well-Worn), 0.7000000000000001, 0.258, -0.44200000000000006, CZ75-Auto | Red Astor (Battle-Scarred):0.23 - Galil AR | Firefight (Battle-Scarred):0.24 - SSG 08 | Ghost Crusader (Battle-Scarred):0.26 - Tec-9 | Re-Entry (Field-Tested):0.32 - XM1014 | Black Tie (Battle-Scarred):0.24 - 
M249 | Submerged (Battle-Scarred), 0.3, 0.21749999999999997, -0.08250000000000002, M4A1-S | Mud-Spec (Battle-Scarred):0.29 - MAC-10 | Echoing Sands (Battle-Scarred):0.19 - SSG 08 | Azure Glyph (Battle-Scarred):0.18 - USP-S | Desert Tactical (Battle-Scarred):0.21 - 
M249 | Submerged (Factory New), 1.4000000000000001, 0.21749999999999997, -1.1825, M4A1-S | Mud-Spec (Battle-Scarred):0.29 - MAC-10 | Echoing Sands (Battle-Scarred):0.19 - SSG 08 | Azure Glyph (Battle-Scarred):0.18 - USP-S | Desert Tactical (Battle-Scarred):0.21 - 
M249 | Submerged (Field-Tested), 0.3, 0.21749999999999997, -0.08250000000000002, M4A1-S | Mud-Spec (Battle-Scarred):0.29 - MAC-10 | Echoing Sands (Battle-Scarred):0.19 - SSG 08 | Azure Glyph (Battle-Scarred):0.18 - USP-S | Desert Tactical (Battle-Scarred):0.21 - 
M249 | Submerged (Minimal Wear), 0.4, 0.21749999999999997, -0.18250000000000005, M4A1-S | Mud-Spec (Battle-Scarred):0.29 - MAC-10 | Echoing Sands (Battle-Scarred):0.19 - SSG 08 | Azure Glyph (Battle-Scarred):0.18 - USP-S | Desert Tactical (Battle-Scarred):0.21 - 
M249 | Submerged (Well-Worn), 0.3, 0.21749999999999997, -0.08250000000000002, M4A1-S | Mud-Spec (Battle-Scarred):0.29 - MAC-10 | Echoing Sands (Battle-Scarred):0.19 - SSG 08 | Azure Glyph (Battle-Scarred):0.18 - USP-S | Desert Tactical (Battle-Scarred):0.21 - 
M249 | System Lock (Battle-Scarred), 0.8999999999999999, 0.8999999999999999, 0.0, Desert Eagle | Naga (Battle-Scarred):1 - Dual Berettas | Urban Shock (Battle-Scarred):0.85 - MAC-10 | Malachite (Battle-Scarred):0.95 - Sawed-Off | Serenity (Battle-Scarred):0.8 - 
M249 | System Lock (Factory New), 5.6000000000000005, 0.8999999999999999, -4.700000000000001, Desert Eagle | Naga (Battle-Scarred):1 - Dual Berettas | Urban Shock (Battle-Scarred):0.85 - MAC-10 | Malachite (Battle-Scarred):0.95 - Sawed-Off | Serenity (Battle-Scarred):0.8 - 
M249 | System Lock (Field-Tested), 1.3, 0.8999999999999999, -0.40000000000000013, Desert Eagle | Naga (Battle-Scarred):1 - Dual Berettas | Urban Shock (Battle-Scarred):0.85 - MAC-10 | Malachite (Battle-Scarred):0.95 - Sawed-Off | Serenity (Battle-Scarred):0.8 - 
M249 | System Lock (Minimal Wear), 2.6, 0.8999999999999999, -1.7000000000000002, Desert Eagle | Naga (Battle-Scarred):1 - Dual Berettas | Urban Shock (Battle-Scarred):0.85 - MAC-10 | Malachite (Battle-Scarred):0.95 - Sawed-Off | Serenity (Battle-Scarred):0.8 - 
M249 | System Lock (Well-Worn), 1.7000000000000002, 0.8999999999999999, -0.8000000000000003, Desert Eagle | Naga (Battle-Scarred):1 - Dual Berettas | Urban Shock (Battle-Scarred):0.85 - MAC-10 | Malachite (Battle-Scarred):0.95 - Sawed-Off | Serenity (Battle-Scarred):0.8 - 
M249 | Warbird (Battle-Scarred), 6.8999999999999995, 1.298, -5.601999999999999, AK-47 | Rat Rod (Battle-Scarred):2.61 - AUG | Arctic Wolf (Battle-Scarred):0.91 - MP7 | Neon Ply (Battle-Scarred):1.13 - P2000 | Obsidian (Battle-Scarred):0.95 - PP-Bizon | Embargo (Battle-Scarred):0.89 - 
M249 | Warbird (Factory New), 13.100000000000001, 1.298, -11.802000000000001, AK-47 | Rat Rod (Battle-Scarred):2.61 - AUG | Arctic Wolf (Battle-Scarred):0.91 - MP7 | Neon Ply (Battle-Scarred):1.13 - P2000 | Obsidian (Battle-Scarred):0.95 - PP-Bizon | Embargo (Battle-Scarred):0.89 - 
M249 | Warbird (Field-Tested), 11.6, 1.298, -10.302, AK-47 | Rat Rod (Battle-Scarred):2.61 - AUG | Arctic Wolf (Battle-Scarred):0.91 - MP7 | Neon Ply (Battle-Scarred):1.13 - P2000 | Obsidian (Battle-Scarred):0.95 - PP-Bizon | Embargo (Battle-Scarred):0.89 - 
M249 | Warbird (Minimal Wear), 10.9, 1.298, -9.602, AK-47 | Rat Rod (Battle-Scarred):2.61 - AUG | Arctic Wolf (Battle-Scarred):0.91 - MP7 | Neon Ply (Battle-Scarred):1.13 - P2000 | Obsidian (Battle-Scarred):0.95 - PP-Bizon | Embargo (Battle-Scarred):0.89 - 
M249 | Warbird (Well-Worn), 11.0, 1.298, -9.702, AK-47 | Rat Rod (Battle-Scarred):2.61 - AUG | Arctic Wolf (Battle-Scarred):0.91 - MP7 | Neon Ply (Battle-Scarred):1.13 - P2000 | Obsidian (Battle-Scarred):0.95 - PP-Bizon | Embargo (Battle-Scarred):0.89 - 
